Author,Year,estimate_type,PA_Varme,Pa_varNotes,Construct,X_varNotes,N,B_uni,B_SE_uni,beta_uni,CI_lower_uni,CI_upper_uni,p_valueBeta_uni,t_uni,F_uni,p_valueF_uni,Rsqrt_uni,r_uni,p_valuerCoeff_uni,Odds_Ratio,CI_OR,p_valueOR,Rho_uni,p_valueRho_uni,Variates_multi,B_multi,SE_B_Multi,beta_multi,p_valueBeta_multi,F_multi,p_valueF_multi,SE_multi,t_multi,p_multi,CI_1_multi,CI_2_multi,Rsqrt_multi,B_PA_X,SE_PA_X,OR_PA_X,CI_1_PA_X,CI_2_PA_X,P_value_PA_X,N_PA_X,Proportion_Percent_PA_X,Mean_PA_X,SD_PA_X,Median_PA_X,IRQ_First_PA_X,IRQ_Second_PA_X,F_PA_X,p_F_PA_X,OR_PA_noX,CI_1_PA_noX,CI_2_,p_PA_noX,N_PA_noX,Proportion_Percent_PA_noX,Mean_PA_noX,SD_PA_noX,Median_PA_noX,IRQ_First_PA_noX,IRQ_Second_PA_noX,t_value_PA_noX,p_valueTPA_noX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendIntensive,Paintensive DEE,Age,Age,111,,,,,,,,,,,-0.32,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendLow,PAlow DEE,Age,Age,111,,,,,,,,,,,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,EnergyExpend_total,Total energy expenditure (kcal) ,Age,Age,111,,,,,,,,,,,-0.57,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendHigh,PAhigh DEE,BMI,BMI,111,,,,,,,,,,,0.31,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendIntensive,Paintensive DEE,BMI,BMI,111,,,,,,,,,,,0.30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendLow,PAlow DEE,BMI,BMI,111,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,EnergyExpend_total,Total energy expenditure (kcal) ,BMI,BMI,111,,,,,,,,,,,0.66,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,Category_EnergyExpendHigh,PAhigh DEE,Education, Illiteracy,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,23.40,388.44,387.46,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,Category_EnergyExpendHigh,PAhigh DEE,Education2, Elementary,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,33.30,549.80,873.13,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,Category_EnergyExpendHigh,PAhigh DEE,Education2,Above junior high,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,43.30,724.39,1627.77,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,Category_EnergyExpendIntensive,Paintensive DEE,Education2, Illiteracy,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,23.40,23.61,70.87,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,Category_EnergyExpendIntensive,Paintensive DEE,Education2, Elementary,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,33.30,123.77,338.25,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,Category_EnergyExpendIntensive,Paintensive DEE,Education2,Above junior high,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,43.30,157.37,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,Category_EnergyExpendLow,PAlow DEE,Education2, Illiteracy,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,23.40,1538.34,443.65,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,Category_EnergyExpendLow,PAlow DEE,Education2, Elementary,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,33.30,1569.63,512.59,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,Category_EnergyExpendLow,PAlow DEE,Education2,Above junior high,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,43.30,1570.35,733.71,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,EnergyExpend_total,Total energy expenditure (kcal) ,Education, Illiteracy,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,23.40,6399.94,1677.21,,,,10.34,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,EnergyExpend_total,Total energy expenditure (kcal) ,Education, Elementary,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,33.30,8188.31,2350.03,,,,10.34,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,F_value,EnergyExpend_total,Total energy expenditure (kcal) ,Education,Above junior high,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,43.30,9090.94,2728.56,,,,10.34,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendHigh,PAhigh DEE,Knowledge1,Physical activity knowledge,111,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendIntensive,Paintensive DEE,Knowledge2,Physical activity knowledge,111,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendLow,PAlow DEE,Knowledge3,Physical activity knowledge,111,,,,,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,EnergyExpend_total,Total energy expenditure (kcal) ,Knowledge,Physical activity knowledge,111,,,,,,,,,,,0.20,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendHigh,PAhigh DEE,LVEF4,LVEF,111,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendIntensive,Paintensive DEE,LVEF2,LVEF,111,,,,,,,,,,,-0.18,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendLow,PAlow DEE,LVEF3,LVEF,111,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,EnergyExpend_total,Total energy expenditure (kcal) ,LVEF,LVEF,111,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,Category_EnergyExpendHigh,PAhigh DEE,Male,Men,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.00,62.20,315.89,372.68,,,,,,,,,,42.00,37.80,1037.57,1816.24,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,Category_EnergyExpendIntensive,Paintensive DEE,Male,Men,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.00,62.20,132.09,304.80,,,,,,,,,,42.00,37.80,88.88,310.06,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,Category_EnergyExpendLow,PAlow DEE,Male1,Men,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.00,62.20,1588.90,613.58,,,,,,,,,,42.00,37.80,1520.18,585.25,,,,-2.54,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,EnergyExpend_total,Total energy expenditure (kcal) ,Male,Men,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.00,,8523.74,2391.47,,,,,,,,,,42.00,37.80,7604.31,2836.36,,,,2.32,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,Category_EnergyExpendHigh,PAhigh DEE,NYHA_IIIvsII4,NYHA iii VS I,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,20.70,344.39,654.79,,,, ,,,,,,88.00,79.30,652.88,1300.40,,,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,Category_EnergyExpendIntensive,Paintensive DEE,NYHA_IIIvsII2,NYHA iii VS I,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,20.70,7365.52,162.14,,,, ,,,,,,88.00,79.30,137.15,331.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,Category_EnergyExpendLow,PAlow DEE,NYHA_IIIvsII3,NYHA iii VS I,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,20.70,1463.07,389.86,,,, ,,,,,,88.00,79.30,1588.99,644.47,,,,2.12,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,EnergyExpend_total,Total energy expenditure (kcal) ,NYHA,NYHA iii VS I,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,20.70,7365.52,2011.17,,,,,,,,,,88.00,79.30,8387.64,2696.91,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,Category_EnergyExpendHigh,PAhigh DEE,Partner1,With spouse,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,72.10,575.85,1181.05,,,,,,,,,,31.00,27.90,622.77,1265.50,,,,2.20,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,Category_EnergyExpendIntensive,Paintensive DEE,Partner2,With spouse,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,72.10,62.24,167.99,,,,,,,,,,31.00,27.90,253.80,491.89,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,Category_EnergyExpendLow,PAlow DEE,Partner3,With spouse,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,72.10,1530.41,543.18,,,,,,,,,,31.00,27.90,1646.74,733.86,,,,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,Mean_SD,EnergyExpend_total,Total energy expenditure (kcal) ,Partner,With spouse,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,72.10,7765.61,3114.16,,,,2.12,0.01,,,,,31.00,27.90,9234.54,2254.85,,,,491.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendHigh,PAhigh DEE,SelfEfficacy1,SE-BADL,111,,,,,,,,,,,0.27,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendHigh,PAhigh DEE,SelfEfficacy,SE-IADL,111,,,,,,,,,,,0.40,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
